AAR,BYDEL,ALDERSKAT,FORSIKRET,ARBLED,HFUDD,PERSONER
2012,3,1,1,5,1,1
2012,3,1,1,5,2,5
2012,3,1,1,5,3,1
2012,3,1,1,5,4,1
2012,3,1,3,1,1,455
2012,3,1,3,1,2,11
2012,3,1,3,1,3,2
2012,3,1,3,1,4,1
2012,3,1,3,1,5,1
2012,3,1,3,2,1,93
2012,3,1,3,2,2,2
2012,3,1,3,2,3,5
2012,3,1,3,3,1,18
2012,3,1,3,3,2,2
2012,3,1,3,4,1,11
2012,3,1,3,4,2,1
2012,3,1,3,5,1,3
2012,3,2,1,1,1,118
2012,3,2,1,1,2,136
2012,3,2,1,1,3,36
2012,3,2,1,1,4,276
2012,3,2,1,1,5,158
2012,3,2,1,1,6,376
2012,3,2,1,2,1,60
2012,3,2,1,2,2,73
2012,3,2,1,2,3,21
2012,3,2,1,2,4,117
2012,3,2,1,2,5,53
2012,3,2,1,2,6,234
2012,3,2,1,3,1,27
2012,3,2,1,3,2,27
2012,3,2,1,3,3,8
2012,3,2,1,3,4,61
2012,3,2,1,3,5,18
2012,3,2,1,3,6,81
2012,3,2,1,4,1,9
2012,3,2,1,4,2,18
2012,3,2,1,4,3,6
2012,3,2,1,4,4,21
2012,3,2,1,4,5,2
2012,3,2,1,4,6,42
2012,3,2,1,5,1,5
2012,3,2,1,5,2,3
2012,3,2,1,5,3,1
2012,3,2,1,5,4,1
2012,3,2,1,5,5,3
2012,3,2,1,5,6,5
2012,3,2,3,1,1,169
2012,3,2,3,1,2,15
2012,3,2,3,1,3,4
2012,3,2,3,1,4,1
2012,3,2,3,1,5,8
2012,3,2,3,1,6,3
2012,3,2,3,2,1,76
2012,3,2,3,2,2,5
2012,3,2,3,2,3,2
2012,3,2,3,2,5,3
2012,3,2,3,2,6,1
2012,3,2,3,3,1,24
2012,3,2,3,3,2,3
2012,3,2,3,3,3,1
2012,3,2,3,3,5,2
2012,3,2,3,4,1,17
2012,3,2,3,4,2,1
2012,3,2,3,4,4,1
2012,3,2,3,4,5,1
2012,3,2,3,5,1,9
2012,3,3,1,1,1,330
2012,3,3,1,1,2,313
2012,3,3,1,1,3,50
2012,3,3,1,1,4,285
2012,3,3,1,1,5,85
2012,3,3,1,1,6,470
2012,3,3,1,2,1,295
2012,3,3,1,2,2,248
2012,3,3,1,2,3,53
2012,3,3,1,2,4,208
2012,3,3,1,2,5,47
2012,3,3,1,2,6,402
2012,3,3,1,3,1,251
2012,3,3,1,3,2,178
2012,3,3,1,3,3,41
2012,3,3,1,3,4,142
2012,3,3,1,3,5,57
2012,3,3,1,3,6,292
2012,3,3,1,4,1,204
2012,3,3,1,4,2,121
2012,3,3,1,4,3,35
2012,3,3,1,4,4,70
2012,3,3,1,4,5,20
2012,3,3,1,4,6,196
2012,3,3,1,5,1,99
2012,3,3,1,5,2,64
2012,3,3,1,5,3,12
2012,3,3,1,5,4,40
2012,3,3,1,5,5,11
2012,3,3,1,5,6,82
2012,3,3,3,1,1,148
2012,3,3,3,1,2,40
2012,3,3,3,1,3,6
2012,3,3,3,1,4,21
2012,3,3,3,1,5,13
2012,3,3,3,1,6,9
2012,3,3,3,2,1,145
2012,3,3,3,2,2,47
2012,3,3,3,2,3,10
2012,3,3,3,2,4,14
2012,3,3,3,2,5,10
2012,3,3,3,2,6,4
2012,3,3,3,3,1,121
2012,3,3,3,3,2,35
2012,3,3,3,3,3,6
2012,3,3,3,3,4,13
2012,3,3,3,3,5,5
2012,3,3,3,3,6,5
2012,3,3,3,4,1,124
2012,3,3,3,4,2,28
2012,3,3,3,4,3,11
